well_id,fragment_id
A1,Y107
A2,Y187
A3,Y104
A4,Y141
A5,Y105
A6,Y135
A7,Y109
A8,Y169
A9,Y184
A10,Y154
A11,Y158
A12,Y129
B1,Y121
B2,Y133
B3,Y106
B4,Y116
B5,Y108
B6,Y130
B7,Y164
B8,Y152
B9,Y131
B10,Y186
B11,Y136
B12,Y180
C1,Y123
C2,Y136
C3,Y144
C4,Y186
C5,Y171
C6,Y149
C7,Y194
C8,Y190
C9,Y182
C10,Y163
C11,Y156
C12,Y104
D1,Y104
D2,Y123
D3,Y178
D4,Y129
D5,Y173
D6,Y170
D7,Y169
D8,Y146
D9,Y185
D10,Y174
D11,Y107
D12,Y171
E1,Y176
E2,Y133
E3,Y189
E4,Y133
E5,Y117
E6,Y182
E7,Y159
E8,Y172
E9,Y166
E10,Y142
E11,Y121
E12,Y185
F1,Y187
F2,Y106
F3,Y114
F4,Y147
F5,Y126
F6,Y181
F7,Y161
F8,Y127
F9,Y157
F10,Y106
F11,Y142
F12,Y190
G1,Y152
G2,Y120
G3,Y148
G4,Y120
G5,Y175
G6,Y139
G7,Y109
G8,Y172
G9,Y123
G10,Y109
G11,Y168
G12,Y183
H1,Y112
H2,Y158
H3,Y112
H4,Y193
H5,Y137
H6,Y107
H7,Y135
H8,Y191
H9,Y165
H10,Y105
H11,Y140
H12,Y167
